Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11
110001,Leste Rondoniense,28.45,24.18,32.73,37.13,35.34,38.93,0.42,0.39,0.45
110002,Leste Rondoniense,23.73,21.09,26.37,26.44,24.76,28.12,0.44,0.42,0.47
110003,Leste Rondoniense,22.61,18.08,27.14,34.07,34.05,34.1,0.4,0.37,0.44
110004,Leste Rondoniense,28.75,25.54,31.96,31.02,28.8,33.24,0.46,0.43,0.48
110005,Leste Rondoniense,36.15,30.94,41.37,36.28,36.12,36.45,0.44,0.4,0.48
110006,Leste Rondoniense,28.07,23.88,32.25,32.55,31.38,33.73,0.44,0.4,0.47
110007,Leste Rondoniense,24.2,19.46,28.93,35.85,34.17,37.53,0.37,0.33,0.4
110008,Madeira-Guapor⁄,35.68,30.16,41.19,39.16,36.78,41.53,0.41,0.37,0.44
110009,Leste Rondoniense,26.45,22.88,30.02,32.66,29.82,35.5,0.42,0.39,0.45
110010,Madeira-Guapor⁄,35.59,31.52,39.66,37.44,35.73,39.15,0.47,0.45,0.5
110011,Leste Rondoniense,27.73,24.59,30.88,32.39,31.86,32.92,0.43,0.41,0.46
110012,Leste Rondoniense,31.74,27.78,35.69,33.22,31.11,35.32,0.46,0.44,0.49
110013,Leste Rondoniense,28.49,23.44,33.54,38.56,36.14,40.98,0.38,0.35,0.42
110014,Leste Rondoniense,25.29,20.97,29.61,34.3,30.95,37.65,0.4,0.37,0.44
110015,Leste Rondoniense,28.85,25.56,32.15,32.97,32.85,33.09,0.46,0.43,0.48
110018,Leste Rondoniense,28.95,25.41,32.48,30.8,29.4,32.21,0.45,0.43,0.48
110020,Madeira-Guapor⁄,21.89,18.96,24.82,22.71,22.23,23.18,0.47,0.45,0.49
110025,Leste Rondoniense,23.38,19.78,26.99,32.07,30.94,33.2,0.41,0.38,0.44
110026,Leste Rondoniense,21.2,13.6,28.8,31.76,31.48,32.04,0.42,0.34,0.5
110028,Leste Rondoniense,30.57,27.26,33.89,35.13,34.19,36.06,0.44,0.41,0.46
110029,Leste Rondoniense,28.68,24.5,32.86,34.6,32.4,36.79,0.42,0.38,0.45
110030,Leste Rondoniense,31.15,27.16,35.15,32.67,30.55,34.78,0.45,0.42,0.47
110032,Leste Rondoniense,26.77,22.36,31.17,36.07,35.31,36.82,0.38,0.35,0.41
110033,Madeira-Guapor⁄,32.49,26.76,38.22,38.5,32.49,44.52,0.39,0.35,0.43
110034,Leste Rondoniense,30.24,25.52,34.96,37.18,36.68,37.69,0.41,0.37,0.44
110037,Leste Rondoniense,22.43,17.13,27.74,36.39,32.33,40.45,0.38,0.34,0.41
110040,Leste Rondoniense,23.42,18.63,28.21,33.8,26.76,40.84,0.38,0.35,0.41
110045,Madeira-Guapor⁄,39.9,36.01,43.79,45.86,43.85,47.88,0.39,0.36,0.41
110050,Leste Rondoniense,15.24,9.9,20.57,29.5,25.38,33.63,0.37,0.33,0.4
110060,Leste Rondoniense,27.37,20.96,33.78,37.68,37.65,37.71,0.38,0.35,0.42
110070,Madeira-Guapor⁄,24.61,18.68,30.54,37.95,33.24,42.67,0.34,0.31,0.37
110080,Madeira-Guapor⁄,39.63,35.04,44.23,42.85,41.78,43.93,0.42,0.39,0.45
110090,Leste Rondoniense,17.01,10.98,23.03,28.86,23.13,34.6,0.37,0.32,0.41
110092,Leste Rondoniense,24.04,17.76,30.32,34.81,32.83,36.78,0.38,0.34,0.42
110094,Madeira-Guapor⁄,38.33,31.39,45.27,46.13,43,49.25,0.42,0.37,0.46
110100,Leste Rondoniense,24.11,18.24,29.99,38.59,36.33,40.85,0.37,0.34,0.4
110110,Madeira-Guapor⁄,33.3,27.73,38.87,44.53,40.39,48.68,0.41,0.36,0.47
110120,Leste Rondoniense,20.96,17.28,24.65,33.09,30.73,35.46,0.4,0.37,0.43
110130,Leste Rondoniense,30.89,26.85,34.93,40.9,38.93,42.86,0.41,0.38,0.44
110140,Leste Rondoniense,30.84,26.41,35.26,35.27,34.58,35.97,0.43,0.4,0.46
110143,Leste Rondoniense,23.43,18.08,28.79,34.79,28.71,40.87,0.37,0.33,0.4
110145,Leste Rondoniense,27,17.15,36.85,37.38,27.21,47.55,0.36,0.31,0.41
110146,Leste Rondoniense,33.73,24.91,42.55,34.98,34.66,35.3,0.36,0.3,0.42
110147,Leste Rondoniense,21.29,14.74,27.84,31,28.18,33.82,0.38,0.34,0.42
110148,Leste Rondoniense,19.34,14.51,24.17,32.73,31.57,33.9,0.38,0.34,0.41
110149,Madeira-Guapor⁄,32.28,27.15,37.41,40.37,36.86,43.88,0.39,0.36,0.42
110150,Leste Rondoniense,32.09,27.18,37.01,43.53,40.6,46.46,0.39,0.36,0.43
110155,Leste Rondoniense,24.25,18.12,30.38,32.49,27.58,37.4,0.37,0.33,0.41
110160,Leste Rondoniense,18.48,13.73,23.24,30.87,25.3,36.45,0.37,0.34,0.4
110170,Leste Rondoniense,28.57,22.9,34.23,37.82,32.82,42.82,0.41,0.36,0.46
110175,Leste Rondoniense,28.41,22.06,34.77,44.73,38.79,50.68,0.35,0.32,0.39
110180,Leste Rondoniense,20.86,16.14,25.59,34.95,34.8,35.09,0.38,0.35,0.41
120001,Vale do Acre,29.84,19.99,39.69,35.35,32.83,37.87,0.45,0.4,0.5
120005,Vale do Acre,48.91,38.98,58.84,58.03,50.11,65.95,0.41,0.34,0.47
