"codemun","idhm_91","idhm_00","idhm_renda_91","idhm_renda_00","idhm_long_91","idhm_long_00","idhm_edu_91","idhm_edu_00"
350010,0.751,0.812,0.71,0.753,0.731,0.779,0.813,0.903
350020,0.724,0.795,0.647,0.686,0.791,0.863,0.733,0.837
350030,0.726,0.786,0.664,0.729,0.719,0.776,0.794,0.853
350040,0.763,0.81,0.704,0.745,0.775,0.802,0.809,0.884
350050,0.749,0.807,0.692,0.774,0.763,0.812,0.791,0.836
350055,0.733,0.824,0.684,0.726,0.714,0.841,0.8,0.906
350060,0.848,0.908,0.834,0.918,0.811,0.874,0.898,0.933
350070,0.724,0.786,0.665,0.705,0.718,0.763,0.79,0.889
350075,0.691,0.748,0.634,0.666,0.688,0.728,0.75,0.849
350080,0.737,0.799,0.662,0.686,0.782,0.853,0.766,0.858
350090,0.723,0.766,0.65,0.677,0.791,0.809,0.728,0.811
350100,0.763,0.823,0.704,0.767,0.791,0.835,0.794,0.867
350110,0.7000000000000001,0.774,0.598,0.673,0.759,0.801,0.743,0.848
350115,0.724,0.787,0.691,0.724,0.669,0.734,0.811,0.903
350120,0.703,0.771,0.591,0.6950000000000001,0.749,0.782,0.77,0.837
350130,0.729,0.772,0.644,0.699,0.752,0.763,0.791,0.855
350140,0.654,0.73,0.557,0.637,0.6900000000000001,0.748,0.714,0.806
350150,0.689,0.741,0.607,0.649,0.74,0.749,0.719,0.824
350160,0.798,0.84,0.773,0.801,0.768,0.791,0.852,0.928
350170,0.755,0.788,0.692,0.689,0.786,0.803,0.787,0.872
350180,0.712,0.774,0.634,0.696,0.749,0.78,0.752,0.846
350190,0.749,0.806,0.726,0.791,0.7000000000000001,0.746,0.822,0.881
350200,0.752,0.804,0.675,0.721,0.777,0.805,0.803,0.886
350210,0.747,0.798,0.689,0.754,0.735,0.763,0.816,0.876
350220,0.701,0.762,0.663,0.6950000000000001,0.6900000000000001,0.741,0.751,0.85
350230,0.717,0.768,0.652,0.686,0.732,0.778,0.766,0.841
350240,0.701,0.752,0.608,0.643,0.74,0.783,0.755,0.829
350250,0.781,0.804,0.724,0.735,0.761,0.784,0.857,0.893
350260,0.693,0.759,0.622,0.68,0.725,0.785,0.731,0.811
350270,0.664,0.716,0.615,0.631,0.626,0.673,0.75,0.845
350275,0.694,0.77,0.644,0.708,0.674,0.734,0.763,0.868
350280,0.787,0.848,0.749,0.811,0.758,0.8250000000000001,0.854,0.909
350290,0.725,0.785,0.683,0.729,0.722,0.768,0.771,0.859
